COUNTY,BusMilesPerCommuter,CommuterRailMilesPerCommuter,AmtrakMilesPerCommuter,MPO
Alameda,4695,11549,14069,MTC
Alpine,8887,15567,14069,Other
Amador,8887,15567,14069,Other
Butte,7556,15567,14069,Other
Calaveras,8887,15567,14069,Other
Colusa,8887,15567,14069,Other
Contra Costa,8369,11806,14069,MTC
Del Norte,8887,15567,14069,Other
El Dorado,8887,15567,14069,SACOG
Fresno,10044,15567,14069,San Joaquin Valley
Glenn,8887,15567,14069,Other
Humboldt,8887,15567,14069,Other
Imperial,14578,15567,14069,SCAG
Inyo,8887,15567,14069,Other
Kern,8745,15567,14069,San Joaquin Valley
Kings,27931,15567,14069,San Joaquin Valley
Lake,8887,15567,14069,Other
Lassen,8887,15567,14069,Other
Los Angeles,7726,15567,14069,SCAG
Madera,8887,15567,14069,San Joaquin Valley
Marin,4321,11646,14069,MTC
Mariposa,8887,15567,14069,Other
Mendocino,8887,15567,14069,Other
Merced,4575,15567,14069,San Joaquin Valley
Modoc,8887,15567,14069,Other
Mono,8887,15567,14069,Other
Monterey,8588,15567,14069,Other
Napa,4885,15567,14069,MTC
Nevada,8887,15567,14069,Other
Orange,7914,15567,14069,SCAG
Placer,7994,15567,14069,SACOG
Plumas,8887,15567,14069,Other
Riverside,8170,15567,14069,SCAG
Sacramento,5323,15567,14069,SACOG
San Benito,8887,15567,14069,Other
San Bernardino,7031,15567,14069,SCAG
San Diego,8645,15567,14069,SANDAG
San Francisco,3380,16424,14069,MTC
San Joaquin,12576,15567,14069,San Joaquin Valley
San Luis Obispo,11147,15567,14069,Other
San Mateo,5603,36686,14069,MTC
Santa Barbara,6748,15567,14069,Other
Santa Clara,7949,35689,14069,MTC
Santa Cruz,11534,15567,14069,Other
Shasta,8439,15567,14069,Other
Sierra,8887,15567,14069,Other
Siskiyou,8887,15567,14069,Other
Solano,8388,15567,14069,MTC
Sonoma,5277,15567,14069,MTC
Stanislaus,7001,15567,14069,San Joaquin Valley
Sutter,8887,15567,14069,SACOG
Tehama,8887,15567,14069,Other
Trinity,8887,15567,14069,Other
Tulare,6607,15567,14069,San Joaquin Valley
Tuolumne,8887,15567,14069,Other
Ventura,6254,15567,14069,SCAG
Yolo,8927,15567,14069,SACOG
Yuba,26368,15567,14069,SACOG